,title,avg_rating,count_rating,genres,w_score
28,Going Down in LA-LA Land (2011),5.0,1,Comedy|Drama|Romance,3.1347048942502753
29,Latin Music USA (2009),5.0,1,Documentary|Musical,3.1347048942502753
30,Rocaterrania (2009),5.0,1,Documentary|Fantasy,3.1347048942502753
31,Giorgino (1994),5.0,1,Adventure|Drama|Horror,3.1347048942502753
32,Stealing a Nation (2004),5.0,1,Documentary,3.1347048942502753
33,Precision: The Measure of All Things (2013),5.0,1,Documentary,3.1347048942502753
34,"Moth, The (Cma) (1980)",5.0,1,Drama,3.1347048942502753
35,"Parasites, Les (1999)",5.0,1,Comedy,3.1347048942502753
36,The House on 56th Street (1933),5.0,1,Drama,3.1347048942502753
37,Neurons to Nirvana (2013),5.0,1,Documentary,3.1347048942502753
38,Prom Queen: The Marc Hall Story (2004),5.0,1,Comedy|Drama,3.1347048942502753
39,Doggiewoggiez! Poochiewoochiez! (2012),5.0,1,Comedy,3.1347048942502753
40,Slingshot Hip Hop (2008),5.0,1,(no genres listed),3.1347048942502753
41,Life On A String (Bian chang Bian Zou) (1991),5.0,1,Adventure|Drama|Fantasy|Musical,3.1347048942502753
42,Only Daughter (2013),5.0,1,Drama,3.1347048942502753
43,Between the Devil and the Deep Blue Sea (1995),5.0,1,Drama,3.1347048942502753
44,Rigoletto (1993),5.0,1,Drama,3.1347048942502753
45,"Bo Burnham: Words, Words, Words (2010)",5.0,1,Comedy,3.1347048942502753
46,"Best of Ernie and Bert, The (1988)",5.0,1,Children,3.1347048942502753
47,De la servitude moderne (2009),5.0,1,Documentary,3.1347048942502753
48,"Snow Queen, The (Lumikuningatar) (1986)",5.0,1,Children|Fantasy,3.1347048942502753
49,Who Killed Vincent Chin? (1987),5.0,1,Crime|Documentary,3.1347048942502753
50,Oranges (2004),5.0,1,Drama,3.1347048942502753
51,Poison (1951),5.0,1,Comedy,3.1347048942502753
52,Death of a Nation - The Timor Conspiracy (1994),5.0,1,Documentary,3.1347048942502753
53,Muddy River (1981),5.0,1,Drama,3.1347048942502753
54,"Pursuit of Unhappiness, The (Anleitung zum Unglücklichsein) (2012)",5.0,1,Romance,3.1347048942502753
55,Iran Is Not the Problem (2008),5.0,1,Documentary,3.1347048942502753
56,Serving Life (2011),5.0,1,Documentary,3.1347048942502753
57,1971 (2014),5.0,1,Documentary,3.1347048942502753
58,Freeheld (2007),5.0,1,Documentary,3.1347048942502753
59,Afstiros katallilo (2008),5.0,1,Comedy,3.1347048942502753
60,"Ella Lola, a la Trilby (1898)",5.0,1,(no genres listed),3.1347048942502753
61,Taxi Blues (1990),5.0,1,Drama,3.1347048942502753
62,Island at War (2004),5.0,1,Drama|War,3.1347048942502753
63,Diplomatic Immunity (2009– ),5.0,1,Comedy,3.1347048942502753
64,Blue Swallow (Cheong yeon) (2005),5.0,1,Drama|Romance,3.1347048942502753
65,Palestine Is Still the Issue (2003),5.0,1,Documentary,3.1347048942502753
66,Linotype: The Film (2012),5.0,1,Documentary,3.1347048942502753
67,Catastroika (2012),5.0,2,Documentary,3.136130960844885
68,Abendland (2011),5.0,1,Documentary,3.1347048942502753
69,Bill Hicks: Sane Man (1989),5.0,1,Comedy,3.1347048942502753
70,"Turkish Dance, Ella Lola (1898)",5.0,1,(no genres listed),3.1347048942502753
71,"Story of Science, The (2010)",5.0,1,Documentary,3.1347048942502753
72,The Garden of Sinners - Chapter 5: Paradox Paradigm (2008),5.0,1,Animation,3.1347048942502753
73,Pretty Things (2001),5.0,1,Drama,3.1347048942502753
74,Such Hawks Such Hounds (2008),5.0,1,Documentary,3.1347048942502753
75,Welcome to Australia (1999),5.0,1,Documentary,3.1347048942502753
76,Bandaged (2009),5.0,1,Thriller,3.1347048942502753
77,B-Side (2013),5.0,1,Comedy|Romance,3.1347048942502753
78,Victor and the Secret of Crocodile Mansion (2012),5.0,1,Adventure|Children|Mystery,3.1347048942502753
79,When I Walk (2013),5.0,1,Documentary,3.1347048942502753
80,Year Zero: The Silent Death of Cambodia (1979),5.0,1,Documentary,3.1347048942502753
81,Boys (Drenge) (1977),5.0,1,Drama,3.1347048942502753
82,"Hijacking Catastrophe: 9/11, Fear & the Selling of American Empire (2004)",5.0,1,Documentary,3.1347048942502753
83,"Summer Wishes, Winter Dreams (1973)",5.0,1,Drama,3.1347048942502753
84,"Boys Diving, Honolulu (1901)",5.0,1,Documentary,3.1347048942502753
85,People of the Wind (1976),5.0,1,Documentary,3.1347048942502753
86,Shock and Awe: The Story of Electricity (2011),5.0,1,Documentary,3.1347048942502753
87,"Codes of Gender, The (2010)",5.0,1,Documentary,3.1347048942502753
88,Sun Kissed (2012),5.0,1,Documentary,3.1347048942502753
89,The Floating Castle (2012),5.0,1,Comedy|Drama,3.1347048942502753
90,"Lady of Chance, A (1928)",5.0,1,Comedy|Drama|Romance,3.1347048942502753
91,Shaolin Temple 2: Kids from Shaolin (Shao Lin xiao zi) (Kids from Shaolin) (1984),5.0,1,Action|Comedy,3.1347048942502753
92,Dream Demon (1988),5.0,1,Horror,3.1347048942502753
93,Mutantes (2009),5.0,1,Documentary,3.1347048942502753
94,"Keeping the Promise (Sign of the Beaver, The) (1997)",5.0,1,Children|Drama,3.1347048942502753
95,Argentina latente (2007),5.0,1,Documentary,3.1347048942502753
96,The Encounter (2010),5.0,1,Children|Drama,3.1347048942502753
97,"Foster Brothers, The (Süt kardesler) (1976)",5.0,1,Comedy,3.1347048942502753
98,Always for Pleasure (1978),5.0,1,(no genres listed),3.1347048942502753
99,Donos de Portugal (2012),5.0,1,Documentary,3.1347048942502753
100,The Color of Milk (2004),5.0,1,Comedy|Drama,3.1347048942502753
101,The Green (2011),5.0,1,Drama,3.1347048942502753
102,"Barchester Chronicles, The (1982)",5.0,1,Drama,3.1347048942502753
103,A Blank on the Map (1971),5.0,1,Documentary,3.1347048942502753
104,Rock the Boat (1944),5.0,1,Animation,3.1347048942502753
105,"Human Behavior Experiments, The (2006)",5.0,1,Documentary,3.1347048942502753
106,"Sierra, La (2005)",5.0,1,Documentary,3.1347048942502753
107,"New Rulers of the World, The (2001)",5.0,1,Documentary,3.1347048942502753
108,Junior Prom (1946),5.0,1,Documentary,3.1347048942502753
109,Eye In The Sky (Gun chung) (2007),5.0,1,Crime|Thriller,3.1347048942502753
110,Central Park (1991),5.0,1,Documentary,3.1347048942502753
111,Hollywood and The Pentagon: A Dangerous Liaison (2003),5.0,1,Documentary,3.1347048942502753
112,Boy Meets Boy (2008),5.0,1,Romance,3.1347048942502753
113,"Octopus, The (Le poulpe) (1998)",4.833333333333333,3,Comedy|Crime|Thriller,3.137172877605126
114,I Belong (Som du ser meg) (2012),4.75,2,Drama,3.1357486978479434
115,Hard Sun (2014),4.75,2,Drama|Romance,3.1357486978479434
116,Step Up Love Story (Futari ecchi) (2002),4.75,2,Animation|Comedy|Romance,3.1357486978479434
117,Bogowie (2014),4.75,2,Drama,3.1357486978479434
118,Boys Love (2006),4.75,2,Drama|Romance,3.1357486978479434
119,The Private Life of a Cat (1944),4.75,2,(no genres listed),3.1357486978479434
120,Pictures of the Old World (Obrazy starého sveta) (1972),4.75,2,Documentary,3.1357486978479434
121,Out 1: Spectre (1974),4.75,2,Comedy|Drama|Thriller,3.1357486978479434
122,Aashiqui 2 (2013),4.75,2,Drama|Musical|Romance,3.1357486978479434
123,"Black Heaven (L'autre monde) (Other World, The) (2010)",4.75,2,Drama,3.1357486978479434
124,Here Without Me (Inja bedoone man) (2011),4.75,2,Drama|Film-Noir|Mystery|Romance,3.1357486978479434
125,"Secrets of Jonathan Sperry, The (2008)",4.75,2,Drama,3.1357486978479434
126,Reel Bad Arabs: How Hollywood Vilifies a People (2006),4.75,2,Documentary,3.1357486978479434
127,Sandra of a Thousand Delights (Vaghe stelle dell'Orsa...) (1965),4.75,2,Drama,3.1357486978479434
128,Repentance (Monanieba) (1984),4.75,2,Drama,3.1357486978479434
129,George Carlin: Life Is Worth Losing (2005),4.75,2,Comedy,3.1357486978479434
130,Supermarket Woman (Sûpâ no onna) (1996),4.75,2,Comedy,3.1357486978479434
131,The Lumière Brothers' First Films (1996),4.666666666666667,3,Documentary,3.1367909066349196
132,Echoes of the Rainbow (Sui yuet san tau) (2010),4.666666666666667,3,Comedy|Drama|Romance,3.1367909066349196
133,Plastic Bag (2009),4.666666666666667,3,Drama,3.1367909066349196
134,Hellhounds on My Trail (1999),4.666666666666667,3,Documentary,3.1367909066349196
135,"Child's Christmas in Wales, A (1987)",4.666666666666667,3,Children|Drama,3.1367909066349196
136,All Passion Spent (1986),4.666666666666667,3,Drama,3.1367909066349196
137,Deewaar (1975),4.666666666666667,3,Action|Crime|Drama|Thriller,3.1367909066349196
138,One Small Hitch (2013),4.5,3,Comedy|Romance,3.1364089356647136
139,Film ist. (2000),4.5,1,Documentary,3.134322338779732
140,Youth of the Son (1952),4.5,1,Drama,3.134322338779732
141,"Dreamworlds II: Desire, Sex, Power in Music Video (1997)",4.5,1,Documentary,3.134322338779732
142,Nothing's All Bad (2010),4.5,1,Drama,3.134322338779732
143,Katt Williams: The Pimp Chronicles Pt. 1 (2006),4.5,2,Comedy|Documentary,3.1353664348510013
144,Love in Another Language (Baska Dilde Ask) (2009),4.5,1,Drama|Romance,3.134322338779732
145,Orderers (Les ordres) (1974),4.5,2,Drama,3.1353664348510013
146,"Dossier 51 (Dossier 51, Le) (1978)",4.5,1,Crime|Drama,3.134322338779732
147,"People, Places, Things (2015)",4.5,1,Comedy,3.134322338779732
148,Snow and Ashes (2010),4.5,2,Drama|Thriller|War,3.1353664348510013
149,"Signos del zodiaco, Los (1964)",4.5,1,Drama,3.134322338779732
150,Smitty (2012),4.5,2,Children|Drama,3.1353664348510013
151,Dream Land (2004),4.5,1,(no genres listed),3.134322338779732
152,Music for One Apartment and Six Drummers (2001),4.5,2,Comedy,3.1353664348510013
153,"Ultramarines: A Warhammer 40,000 Movie (2010)",4.5,1,Animation|Sci-Fi,3.134322338779732
154,"That Day, on the Beach (Hai tan de yi tian) (1983)",4.5,2,Drama,3.1353664348510013
155,The Bloody Olive (1997),4.5,1,Comedy|Crime|Film-Noir,3.134322338779732
156,Deathstalker II (1987),4.5,1,Action|Adventure|Comedy|Fantasy,3.134322338779732
157,588 Rue Paradis (Mother) (1992),4.5,1,Drama,3.134322338779732
158,EMR (2004),4.5,1,Thriller,3.134322338779732
159,"Motivation, The (2013)",4.5,1,Documentary,3.134322338779732
160,Hysteria: The Def Leppard Story (2001),4.5,1,Drama,3.134322338779732
161,"Villain, The (Ek Villain) (2014)",4.5,1,Action|Romance|Thriller,3.134322338779732
162,From Dad to Son (2012),4.5,1,Animation|Drama,3.134322338779732
163,Lascars (2009),4.5,1,Animation|Comedy,3.134322338779732
164,"Judge and the Assassin, The (Juge et l'assassin, Le) (1976)",4.5,1,Crime|Drama,3.134322338779732
165,One Man Up (L'uomo in più) (2001),4.5,1,Comedy|Drama,3.134322338779732
166,"Mother, I Love You (2013)",4.5,1,Drama,3.134322338779732
167,Few of Us (1996),4.5,1,Drama,3.134322338779732
168,Meltdown (Shu dan long wei) (1995),4.5,1,Action|Comedy|Crime,3.134322338779732
169,The Admirable Crichton (1957),4.5,1,Comedy,3.134322338779732
170,A Night at the Movies: The Horrors of Stephen King (2011),4.5,1,Documentary|Horror,3.134322338779732
171,David et Madame Hansen (2012),4.5,1,Comedy|Drama,3.134322338779732
172,Armless (2010),4.5,1,Comedy,3.134322338779732
173,New York: A Documentary Film (1999),4.5,2,Documentary,3.1353664348510013
174,Natural Selection (2011),4.5,1,Comedy|Drama,3.134322338779732
175,Juvenile Court (1973),4.5,4,Documentary,3.1374498448741295
176,A Second Chance (2014),4.5,1,Drama,3.134322338779732
177,A Night at the Movies: The Suspenseful World of Thrillers (2009),4.5,1,Documentary,3.134322338779732
178,Never Make It Home (2011),4.5,1,Documentary|Musical,3.134322338779732
179,Valley Of Flowers (2006),4.5,1,Adventure|Drama|Romance,3.134322338779732
180,Female Vampire (Les avaleuses) (Erotic Kill) (1973),4.5,1,Horror,3.134322338779732
181,"Yes, But... (Oui, mais...) (2001)",4.5,1,Comedy|Drama|Romance,3.134322338779732
182,About Alex (2014),4.5,2,Drama,3.1353664348510013
183,The Dark Knight (2011),4.5,1,Action|Crime|Drama|Thriller,3.134322338779732
184,Bleak Night (2010),4.5,1,Drama,3.134322338779732
185,Day Is Done (2011),4.5,1,Documentary,3.134322338779732
186,"I Am My Films - A Portrait of Werner Herzog (Was ich bin, sind meine Filme) (1979)",4.5,1,Documentary,3.134322338779732
187,That's Life (1998),4.5,1,Comedy,3.134322338779732
188,Playground (2009),4.5,1,(no genres listed),3.134322338779732
189,A Fugitive from the Past (1965),4.5,1,Crime|Drama|Mystery,3.134322338779732
190,Not Another Happy Ending (2013),4.5,1,Comedy|Drama|Romance,3.134322338779732
191,Everybody Street (2013),4.5,2,Documentary,3.1353664348510013
192,Shining Night: A Portrait of Composer Morten Lauridsen (2012),4.5,1,Documentary,3.134322338779732
193,"Blank Generation, The (1976)",4.5,1,Musical,3.134322338779732
194,Letter from Siberia (1957),4.5,1,(no genres listed),3.134322338779732
195,Miss You Can Do It (2013),4.5,1,Documentary,3.134322338779732
196,"Older Brother, Younger Sister (Ani imôto) (1953)",4.5,1,Drama,3.134322338779732
197,Burning Blue (2013),4.5,1,Drama|Romance|War,3.134322338779732
198,Ugly (2013),4.5,1,Mystery|Thriller,3.134322338779732
199,Tokyo Trial (Tokyo saiban) (1983),4.5,1,Documentary,3.134322338779732
200,Stuart: A Life Backward (2007),4.5,1,Drama,3.134322338779732
201,Ditirambo (1969),4.5,1,Comedy|Drama|Mystery|Thriller,3.134322338779732
202,India's Daughter (2015),4.5,2,Documentary,3.1353664348510013
203,"Redemption of General Butt Naked, The (2011)",4.5,1,Documentary|Drama,3.134322338779732
204,For Neda (2010),4.5,5,Documentary,3.1384891661213654
205,Take Out (2004),4.5,2,Drama,3.1353664348510013
206,Drishyam (2013),4.5,1,Children|Drama|Thriller,3.134322338779732
207,McCullin (2012),4.5,1,Documentary,3.134322338779732
208,Reel Rock 7 (2012),4.5,1,Documentary,3.134322338779732
209,Ikigami (2008),4.5,1,Action|Drama|Mystery|Thriller,3.134322338779732
210,"Tale from the Past, A (Përralle Nga e Kaluara) (1987)",4.5,1,Comedy,3.134322338779732
211,Monsieur Vincent (1947),4.5,2,Drama,3.1353664348510013
212,Preston Sturges: The Rise and Fall of an American Dreamer (1990),4.5,1,Documentary,3.134322338779732
213,Three Degrees Colder (3° kälter) (2005),4.5,1,Drama|Romance,3.134322338779732
214,Trails (Veredas) (1978),4.5,1,(no genres listed),3.134322338779732
215,Flying Home (2014),4.5,1,Romance,3.134322338779732
216,Remonstrance (1972),4.5,1,(no genres listed),3.134322338779732
217,Instrument (2003),4.5,1,Documentary,3.134322338779732
218,"Oh, Sun (Soleil O) (1967)",4.5,1,Drama,3.134322338779732
219,Taming the Fire (Ukroshcheniye ognya) (1972),4.5,2,Documentary|Drama|Sci-Fi,3.1353664348510013
220,My Rainy Days (2009),4.5,1,Drama|Romance,3.134322338779732
221,By the People: The Election of Barack Obama (2009),4.5,2,Documentary,3.1353664348510013
222,Leontine (1968),4.5,1,Comedy|Crime,3.134322338779732
223,Hello! How Are You? (Buna! Ce faci?) (2010),4.5,1,Comedy|Romance,3.134322338779732
224,Treasure of the Four Crowns (1983),4.5,1,Adventure,3.134322338779732
225,All About Lola (Ce que je sais de Lola) (Lo que sé de Lola) (2006),4.5,1,Romance,3.134322338779732
226,Print the Legend (2014),4.5,1,Documentary,3.134322338779732
227,"Tree of Knowledge, The (Kundskabens træ) (1981)",4.5,3,Drama,3.1364089356647136
228,Suicide Killers (2006),4.5,1,Documentary,3.134322338779732
229,Impudent Girl (L'effrontée) (1985),4.5,1,Comedy|Drama|Romance,3.134322338779732
230,"Moral Tales, Filmic Issues (2006)",4.5,1,Documentary,3.134322338779732
231,In Name Only (1939),4.5,1,Drama|Romance,3.134322338779732
232,In Our Garden,4.5,1,(no genres listed),3.134322338779732
233,Time to Die (Tiempo de morir) (1966),4.5,1,Drama|Western,3.134322338779732
234,Reconstituirea (Reconstruction) (1968),4.5,2,Comedy|Drama,3.1353664348510013
235,Suspect X (Yôgisha X no kenshin) (2008),4.5,1,Crime|Drama|Mystery,3.134322338779732
236,Symphony of the Soil (2012),4.5,1,Adventure|Documentary,3.134322338779732
237,Synchromy (1971),4.5,1,Animation,3.134322338779732
238,"Tiger from Tjampa, The (Harimau Tjampa) (1953)",4.5,1,Drama,3.134322338779732
239,Bad Fucking (2013),4.5,1,Comedy,3.134322338779732
240,Forgive Me (2006),4.5,1,Comedy,3.134322338779732
241,Tis kakomoiras (1963),4.5,2,Comedy,3.1353664348510013
242,Tie Xi Qu: West of the Tracks (Tiexi qu) (2003),4.5,1,Documentary,3.134322338779732
243,Dead Time: Kala (2007),4.5,3,Crime|Fantasy|Film-Noir|Thriller,3.1364089356647136
244,Dans la peau d'une grande (2011),4.5,1,Comedy,3.134322338779732
245,Série noire (1979),4.5,1,Film-Noir,3.134322338779732
246,Forest of the Gods (Dievu miskas) (2005),4.5,1,Drama,3.134322338779732
247,Manufacturing Reality: Slavoj Zizek and the Reality of the Virtual (Slavoj Zizek: The Reality of the Virtual) (2004),4.5,1,Documentary,3.134322338779732
248,My Brother Tom (2001),4.5,1,Drama,3.134322338779732
249,"Bakeneko: A Vengeful Spirit (Kaibyô nori no numa) (Ghost-Cat Cursed Pond, The) (1968)",4.5,1,Horror,3.134322338779732
250,Holidays by the Sea (Ni à vendre ni à louer) (2011),4.5,3,Comedy,3.1364089356647136
251,"Cool, Calm and Collected (Calmos) (1976)",4.5,1,Comedy,3.134322338779732
252,Look (2007),4.5,2,Drama,3.1353664348510013
253,"Ballroom, The (Chega de Saudade) (2007)",4.5,1,Drama|Musical|Romance,3.134322338779732
254,My Son (Mon fils à moi) (2006),4.5,1,Drama,3.134322338779732
255,Stars in Shorts (2012),4.5,1,Comedy,3.134322338779732
256,Fire in Castilla (Tactilvision from the Moor of the Fright) (1961),4.5,1,Documentary,3.134322338779732
257,I Want to Be a Soldier (2011),4.5,2,Drama,3.1353664348510013
258,Burn Paris Burn (2009),4.5,1,Animation|Fantasy|Mystery,3.134322338779732
259,Honor Among Lovers (1931),4.5,2,Drama,3.1353664348510013
260,Naked (2000),4.5,1,Comedy,3.134322338779732
261,Ten Minutes Older (1978),4.5,1,(no genres listed),3.134322338779732
262,Curse of the Ring (Ring of the Nibelungs) (2004),4.5,1,Action|Adventure|Drama|Fantasy,3.134322338779732
263,Curse of the Oily Man (Sumpah orang minyak) (1956),4.5,1,Drama|Fantasy|Thriller,3.134322338779732
264,Rhythm of a Crime (Ritam zlocina) (1981),4.5,1,Crime|Drama,3.134322338779732
265,Chronicle of My Mother (Waga haha no ki) (2011),4.5,1,Drama,3.134322338779732
266,Palais royal ! (2005),4.5,2,Comedy,3.1353664348510013
267,Glorious Technicolor (1998),4.5,1,Documentary,3.134322338779732
268,Meat the Truth (2008),4.5,1,Documentary,3.134322338779732
269,Admissions (2004),4.5,1,Drama,3.134322338779732
270,Polskie gówno,4.5,1,Comedy|Musical,3.134322338779732
271,Tepenin Ardi (2012),4.5,1,Drama|Thriller,3.134322338779732
272,Mad Dogs & Englishmen (1971),4.5,1,Documentary|Musical,3.134322338779732
273,Somewhere Under the Broad Sky (1954),4.5,1,(no genres listed),3.134322338779732
274,Drevo (2014),4.5,1,Drama,3.134322338779732
275,Adjust Your Tracking (2013),4.5,1,Documentary,3.134322338779732
276,Nas: Time Is Illmatic (2014),4.5,1,Documentary,3.134322338779732
277,Wind with the Gone (El viento se llevó lo qué) (1998),4.5,1,Comedy|Drama,3.134322338779732
278,"Friends at the Margherita Cafe, The (Gli amici del bar Margherita) (2009)",4.5,1,Comedy|Drama|Romance,3.134322338779732
279,Jealousy (1953),4.5,1,Drama,3.134322338779732
280,Jean Renoir: Part One - From La Belle Époque to World War II (1993),4.5,1,Documentary,3.134322338779732
281,Assa (1987),4.5,2,Crime|Drama,3.1353664348510013
282,Terry Pratchett: Choosing to Die (2011),4.5,2,Documentary,3.1353664348510013
283,Berta's Motives (Los motivos de Berta: Fantasía de Pubertad) (1985),4.5,1,Drama,3.134322338779732
284,"Mother Dao, the Turtlelike (Moeder Dao, de schildpadgelijkende) (1995)",4.5,1,Documentary,3.134322338779732
285,Into the Mind (2013),4.5,1,Documentary,3.134322338779732
286,alaskaLand (2013),4.5,1,Drama,3.134322338779732
287,Helen (2009),4.5,1,Drama,3.134322338779732
288,Daar (1993),4.5,2,Drama|Horror|Mystery|Romance|Thriller,3.1353664348510013
289,Winter Nomads (2012),4.5,1,Documentary,3.134322338779732
290,This Is the Night (1932),4.5,1,Comedy,3.134322338779732
291,Stand by Me Doraemon (2014),4.5,1,Animation|Children|Drama|Fantasy,3.134322338779732
292,Flight from Death: The Quest for Immortality (2003),4.5,1,Documentary,3.134322338779732
293,Monday (2000),4.5,1,Action|Comedy|Crime|Fantasy|Thriller,3.134322338779732
294,But Forever in My Mind (1999),4.5,1,Comedy|Drama,3.134322338779732
295,Freedom (2000),4.5,1,Drama,3.134322338779732
296,Bustin' Down the Door (2009),4.5,1,Documentary,3.134322338779732
297,Limuzins Janu nakts krasa (1981),4.5,1,Comedy|Drama,3.134322338779732
298,Freedom Song (2000),4.5,1,Drama,3.134322338779732
299,"Eternal Return, The (L'éternel retour) (1943)",4.5,1,Drama|Romance,3.134322338779732
300,Zanjeer (1973),4.5,1,(no genres listed),3.134322338779732
301,Is It Easy to be Young? (1986),4.5,1,Documentary|Drama,3.134322338779732
302,Gitmo (2005),4.5,1,Documentary,3.134322338779732
303,Taxi for Tobruk (1961),4.5,1,Drama|War,3.134322338779732
304,It Runs in the Family (My Summer Story) (1994),4.5,1,Comedy,3.134322338779732
305,It's Love I'm After (1937),4.5,1,Comedy,3.134322338779732
306,It's a Wonderful Afterlife (2010),4.5,1,Comedy|Drama|Horror|Romance,3.134322338779732
307,Advertising and the End of the World (1998),4.5,1,Documentary,3.134322338779732
308,Benigni (2009),4.5,1,Animation|Comedy|Drama,3.134322338779732
309,Mía (2011),4.5,1,Drama,3.134322338779732
310,Otakus in Love (2004),4.5,1,Comedy|Drama|Romance,3.134322338779732
311,Itinerary of a Spoiled Child (1988),4.5,1,Adventure|Drama,3.134322338779732
312,When in Rome (2002),4.5,1,Children|Comedy,3.134322338779732
313,Sword of Desperation (Hisshiken torisashi) (2010),4.5,1,Action|Drama,3.134322338779732
314,"Crimson Petal and the White, The (2011)",4.5,1,Drama|Romance,3.134322338779732
315,Living Proof (2008),4.5,2,Drama,3.1353664348510013
316,Pumzi (2009),4.5,1,Sci-Fi,3.134322338779732
317,180° South (180 Degrees South) (180° South: Conquerors of the Useless) (2010),4.5,3,Documentary|Drama,3.1364089356647136
318,18 Fingers of Death! (2006),4.5,1,Action|Comedy,3.134322338779732
319,Schtonk! (1992),4.5,2,Comedy,3.1353664348510013
320,Perils of the Sentimental Swordsman (1982),4.5,1,Action|Adventure|Fantasy,3.134322338779732
321,Seyyit Khan: Bride of the Earth (Seyyit Han) (1968),4.5,1,Drama|Western,3.134322338779732
322,Public Housing (1997),4.5,1,Documentary,3.134322338779732
323,"Great White Silence, The (1924)",4.5,4,Documentary,3.1374498448741295
324,Blood in the Mobile (2011),4.5,1,Documentary,3.134322338779732
325,Faith School Menace? (2010),4.5,1,Documentary,3.134322338779732
326,Chizuko's Younger Sister (Futari) (1991),4.5,2,Drama,3.1353664348510013
327,Guilty (Présumé coupable) (2011),4.5,3,Drama,3.1364089356647136
328,"Great Passage, The (Fune wo amu) (2013)",4.5,1,Drama,3.134322338779732
329,The Natural Love (1996),4.5,1,Documentary,3.134322338779732
330,Crazy Mama (1975),4.5,1,Action|Comedy,3.134322338779732
331,"Chocolate Soldier, The (1941)",4.5,1,Comedy|Musical,3.134322338779732
332,Louis Cyr: The Strongest Man in the World (2013),4.5,1,Drama,3.134322338779732
333,Memorial Day (2011),4.5,2,Action|Drama|War,3.1353664348510013
334,Only the Young (2012),4.5,1,Documentary,3.134322338779732
335,No One Dies in Lily Dale (2010),4.5,1,Documentary,3.134322338779732
336,Making a Killing: The Untold Story of Psychotropic Drugging (2008),4.5,1,Documentary,3.134322338779732
337,The Man Who Wouldn't Die (1994),4.5,1,Crime|Drama|Thriller,3.134322338779732
338,1981 (2009),4.5,1,Comedy|Drama|Romance,3.134322338779732
339,Apollo Zero (2009),4.5,1,Documentary,3.134322338779732
340,Santa Claus Has Blue Eyes (Le père Noël a les yeux bleus) (1969),4.5,2,Drama,3.1353664348510013
341,Covert Action (1978),4.5,1,(no genres listed),3.134322338779732
342,La discrète (1990),4.5,1,Drama|Romance,3.134322338779732
343,The Golden Cage (2013),4.5,1,Drama,3.134322338779732
344,Detroit (2003),4.5,1,Drama,3.134322338779732
345,Wu yen (2001),4.5,1,Comedy|Fantasy,3.134322338779732
346,"Sentimental Swordsman, The (To ching chien ko wu ching chien) (1977)",4.5,1,Action|Adventure,3.134322338779732
347,Li'l Quinquin,4.5,1,(no genres listed),3.134322338779732
348,"Elusive Summer of '68, The (Varljivo leto '68) (1984)",4.5,2,Comedy|Drama|Romance,3.1353664348510013
349,Blue Gold: World Water Wars (2008),4.5,3,Documentary,3.1364089356647136
350,The Great Spy Chase (1964),4.5,1,Action|Comedy|Thriller,3.134322338779732
351,The Russian Novel (2013),4.5,1,Drama,3.134322338779732
